label,reference_positive,predicted_positive,tp,tn,fp,fn,agreement,kappa,precision,recall,f1
CONTEXT:Domain Context,98,174,91,107,83,7,0.6875,0.41399891481280515,0.5229885057471264,0.9285714285714286,0.6691176470588235
EVALUATION:Rule Conformance,136,123,90,119,33,46,0.7256944444444444,0.44690781796966156,0.7317073170731707,0.6617647058823529,0.694980694980695
OUTPUT:Control Signal,150,170,125,93,45,25,0.7569444444444444,0.510204081632653,0.7352941176470589,0.8333333333333334,0.78125
RESOURCE:Local Workspace,166,216,157,63,59,9,0.7638888888888888,0.4887218045112781,0.7268518518518519,0.9457831325301205,0.8219895287958116
PROCESS:Within-Run Iteration,103,144,90,131,54,13,0.7673611111111112,0.5347222222222223,0.625,0.8737864077669902,0.728744939271255
EXAMPLE:Technical Snippet,87,124,73,150,51,14,0.7743055555555556,0.5223515003061849,0.5887096774193549,0.8390804597701149,0.6919431279620853
TASK:Evidence Investigation,149,190,138,87,52,11,0.78125,0.5575928996391301,0.7263157894736842,0.9261744966442953,0.8141592920353983
CONTEXT:Execution Environment,98,119,78,149,41,20,0.7881944444444444,0.551516389257633,0.6554621848739496,0.7959183673469388,0.7188940092165899
CONTEXT:Repository Context,202,219,180,47,39,22,0.7881944444444444,0.46393262541193697,0.821917808219178,0.8910891089108911,0.8551068883610451
EVALUATION:Risk Assessment,86,59,42,185,17,44,0.7881944444444444,0.44426167278248757,0.711864406779661,0.4883720930232558,0.5793103448275863
CONTEXT:Historical Context,24,61,13,216,48,11,0.7951388888888888,0.21158129175946513,0.21311475409836064,0.5416666666666666,0.3058823529411765
RESOURCE:GitHub Interface,174,200,159,73,41,15,0.8055555555555556,0.5768261964735516,0.795,0.9137931034482759,0.8502673796791443
COMMUNICATION:Automation Disclosure,72,58,39,197,19,33,0.8194444444444444,0.485148514851485,0.6724137931034483,0.5416666666666666,0.6
CONSTRAINT:Evidence Grounding,104,99,78,163,21,26,0.8368055555555556,0.6425855513307985,0.7878787878787878,0.75,0.7684729064039408
RESOURCE:Agent Resource,62,47,31,210,16,31,0.8368055555555556,0.4705053982162417,0.6595744680851063,0.5,0.5688073394495413
CONSTRAINT:Resource Budget,110,120,93,151,27,17,0.8472222222222222,0.6819277108433734,0.775,0.8454545454545455,0.808695652173913
CONSTRAINT:Scope Boundary,221,213,195,49,18,26,0.8472222222222222,0.5891849834662516,0.9154929577464789,0.8823529411764706,0.8986175115207373
CONSTRAINT:Quality Standard,215,220,196,49,24,19,0.8506944444444444,0.5963494132985658,0.8909090909090909,0.9116279069767442,0.9011494252873563
SAFETY:Execution Isolation,40,42,23,229,19,17,0.875,0.4881516587677724,0.5476190476190477,0.575,0.5609756097560976
EXAMPLE:Worked Case,56,55,39,216,16,17,0.8854166666666666,0.6317420954742715,0.7090909090909091,0.6964285714285714,0.7027027027027027
TASK:Work Item Management,50,66,42,214,24,8,0.8888888888888888,0.6562220232766337,0.6363636363636364,0.84,0.7241379310344828
EVALUATION:Evidence Credibility,32,24,13,245,11,19,0.8958333333333334,0.4078947368421055,0.5416666666666666,0.40625,0.4642857142857143
COMMUNICATION:Expert Role,135,143,125,135,18,10,0.9027777777777778,0.8054711246200609,0.8741258741258742,0.9259259259259259,0.8992805755395683
TASK:Artifact Review,72,60,52,208,8,20,0.9027777777777778,0.7254901960784313,0.8666666666666667,0.7222222222222222,0.7878787878787878
COMMUNICATION:Audience Voice,58,57,44,217,13,14,0.90625,0.7066545948392938,0.7719298245614035,0.7586206896551724,0.7652173913043478
EVALUATION:Execution Check,74,66,57,205,9,17,0.9097222222222222,0.7549096622152396,0.8636363636363636,0.7702702702702703,0.8142857142857143
PROCESS:Cross-Run Memory,52,72,49,213,23,3,0.9097222222222222,0.7346938775510203,0.6805555555555556,0.9423076923076923,0.7903225806451613
TASK:Executable Validation,60,73,54,209,19,6,0.9131944444444444,0.7562956945572704,0.7397260273972602,0.9,0.8120300751879699
RESOURCE:Web Retrieval,41,49,33,231,16,8,0.9166666666666666,0.684412382430828,0.673469387755102,0.8048780487804879,0.7333333333333333
EXAMPLE:Output Template,176,186,170,96,16,6,0.9236111111111112,0.8366336633663367,0.9139784946236559,0.9659090909090909,0.9392265193370166
OUTPUT:Standalone Artifact,40,40,29,237,11,11,0.9236111111111112,0.6806451612903227,0.725,0.725,0.725
PROCESS:Required Sequence,254,257,245,22,12,9,0.9270833333333334,0.6359258367445222,0.953307392996109,0.9645669291338582,0.958904109589041
